Tracking Data,Original Data,Survey Data,Generated Data,Spell Data
hpfad,abroad,csamp,bioage17,artkalen
hpfadl,biol,design,bioagel,biocouplm
$hbrutto,ev,exit,biobirth,biocouply
hbrutto,$h,hhrf,bioedu,biomarsm
$pbrutto,hl,pbr_hhch,bioimmig,biomarsy
pbrutto,$host,phrf,biojob,einkalen
pbr_exit,$jugend,,bioparen,lifespell
ppfad,jugendl,,bioresid,migspell
ppfadl,lueckel,,biosib,pbiospe
,$p,,biosoc,refugspell
,pl,,biotwin,sozkalen
,$pausl,,camces,
,$pluecke,,cogdj,
,$post,,cognit,
,$school,,gripstr,
,$school2,,hconsum,
,$vp,,health,
,vpl,,$hgen,
,,,hgen,
,,,hwealth,
,,,interviewer,
,,,kidl,
,,,$kind,
,,,mihinc,
,,,$pequiv,
,,,pequiv,
,,,pflege,
,,,$pgen,
,,,pgen,
,,,$pkal,
,,,pkal,
,,,$pkalost,
,,,pwealth,
,,,timepref,
,,,trust,
