Topics,Module,Replication,No. Vars,Variables
"**Home, Amenities and Contributions of private households**",,,,
,Participation (financial reasons),"2001, 2003, 2005, 2007, 2011, 2013, 2015",24,`hlf0174 <https://paneldata.org/soep-long/data/hl/hlf0174>`_– `hlf0175 <https://paneldata.org/soep-long/data/hl/hlf0175>`_ &  `hlf0439 <https://paneldata.org/soep-long/data/hl/hlf0439>`_– `hlf0444 <https://paneldata.org/soep-ong/data/hl/hlf0444>`_ &  `hlf0178 <https://paneldata.org/soep-long/data/hl/hlf0178>`_– `hlf195 <https://paneldata.org/soep-long/data/hl/hlf195>`_
,Material deprivation,2016,24,`hlf0178 <https://paneldata.org/soep-long/data/hl/hlf0178>`_-`hlf0181 <https://paneldata.org/soep-long/data/hl/hlf0181>`_ &  `hlf0186 <https://paneldata.org/soep-long/data/hl/hlf0186>`_-`hlf0195 <https://paneldata.org/soep-long/data/hl/hlf0195>`_ &  hlf0613 - hlf0622
,Household equipment since last year,"1998, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010",32,"`hlf0163 <https://paneldata.org/soep-long/data/hl/hlf0163>`_-`hlf0167 <https://paneldata.org/soep-long/data/hl/hlf0167>`_,  `hlf0209 <https://paneldata.org/soep-long/data/hl/hlf0209>`_,  `hlf0212 <https://paneldata.org/soep-long/data/hl/hlf0212>`_,  `hlf0214 <https://paneldata.org/soep-long/data/hl/hlf0214>`_-`hlf0215 <https://paneldata.org/soep-long/data/hl/hlf0215>`_,  `hlf0217 <https://paneldata.org/soep-long/data/hl/hlf0217>`_-`hlf0218 <https://paneldata.org/soep-long/data/hl/hlf0218>`_,  `hlf0159 <https://paneldata.org/soep-long/data/hl/hlf0159>`_,  `hlf0223 <https://paneldata.org/soep-long/data/hl/hlf0223>`_,  `hlf0228 <https://paneldata.org/soep-long/data/hl/hlf0228>`_-`hlf0229 <https://paneldata.org/soep-long/data/hl/hlf0229>`_,  `hlf0231 <https://paneldata.org/soep-long/data/hl/hlf0231>`_,  `hlc0116 <https://paneldata.org/soep-long/data/hl/hlc0116>`_-`hlc0118 <https://paneldata.org/soep-long/data/hl/hlc0118>`_,  `hlf0233 <https://paneldata.org/soep-long/data/hl/hlf0233>`_,  `hlf0236 <https://paneldata.org/soep-long/data/hl/hlf0236>`_-`hlf0237 <https://paneldata.org/soep-long/data/hl/hlf0237>`_,  `hlf0169 <https://paneldata.org/soep-long/data/hl/hlf0169>`_-`hlf0170 <https://paneldata.org/soep-long/data/hl/hlf0170>`_,  `hlf0239 <https://paneldata.org/soep-long/data/hl/hlf0239>`_-`hlf0242 <https://paneldata.org/soep-long/data/hl/hlf0242>`_,  `hlf0244 <https://paneldata.org/soep-long/data/hl/hlf0244>`_-`hlf0245 <https://paneldata.org/soep-long/data/hl/hlf0245>`_,  `hlf0247 <https://paneldata.org/soep-long/data/hl/hlf0247>`_-`hlf0248 <https://paneldata.org/soep-long/data/hl/hlf0248>`_"
,Amount of Books in household,"2001, 2006, 2011, 2016",1,`hlf0197 <https://paneldata.org/soep-long/data/hl/hlf0197>`_
,Pets,"1996, 2006, 2011, 2016",7,"`hlf0254 <https://paneldata.org/soep-long/data/hl/hlf0254>`_-`hlf0259 <https://paneldata.org/soep-long/data/hl/hlf0259>`_,  `hlf0196 <https://paneldata.org/soep-long/data/hl/hlf0196>`_"
,Reasons for Moving and Comparison,"1985-2013, 2015",27,"`hlf0109 <https://paneldata.org/soep-long/data/hl/hlf0109>`_-`hlf0132 <https://paneldata.org/soep-long/data/hl/hlf0132>`_,  `hlf0524 <https://paneldata.org/soep-long/data/hl/hlf0524>`_-`hlf0526 <https://paneldata.org/soep-long/data/hl/hlf0526>`_"
,Second Residence,"2011,2016",3,`hlf0156 <https://paneldata.org/soep-long/data/hl/hlf0156>`_-`hlf0158 <https://paneldata.org/soep-long/data/hl/hlf0158>`_
,Living Environment,"1986, 1994, 1999, 2004, 2009, 2014",22,"`hlf0135 <https://paneldata.org/soep-long/data/hl/hlf0135>`_-`hlf0152 <https://paneldata.org/soep-long/data/hl/hlf0152>`_,  `hlj0004 <https://paneldata.org/soep-long/data/hl/hlj0004>`_,  `hld0001 <https://paneldata.org/soep-long/data/hl/hld0001>`_-`hld0003 <https://paneldata.org/soep-long/data/hl/hld0003>`_"
,"Lunch, School","1997, 2002, 2005, 2007, 2011, 2013, 2015",1,`ks_lunch <https://paneldata.org/soep-long/data/kidl/ks_lunch>`_
