Topics,Module,No. Vars,Variables
"**Attitudes, Values and Personality**",,,
,Satisfaction with various aspects,11,`plh0171 <https://paneldata.org/soep-long/data/pl/plh0171>`_ - `plh0181 <https://paneldata.org/soep-long/data/pl/plh0181>`_
,Mood,4,`plh0184 <https://paneldata.org/soep-long/data/pl/plh0184>`_-  `plh0187 <https://paneldata.org/soep-long/data/pl/plh0187>`_
,Flourishing,1,`plh0334 <https://paneldata.org/soep-long/data/pl/plh0334>`_
,Risk Aversion,1,`plh0204 <https://paneldata.org/soep-long/data/pl/plh0204>`_
,Political orientation,4,"`plh0007 <https://paneldata.org/soep-long/data/pl/plh0007>`_ ,  `plh0011 <https://paneldata.org/soep-long/data/pl/plh0011>`_ - `plh0013 <https://paneldata.org/soep-long/data/pl/plh0013>`_"
,Worries,13,"`plh0032 <https://paneldata.org/soep-long/data/pl/plh0032>`_ , `plh0033 <https://paneldata.org/soep-long/data/pl/plh0033>`_ , `plh0035 <https://paneldata.org/soep-long/data/pl/plh0035>`_ - `plh0038 <https://paneldata.org/soep-long/data/pl/plh0038>`_ , `plh0040 <https://paneldata.org/soep-long/data/pl/plh0040>`_ , `plh0042 <https://paneldata.org/soep-long/data/pl/plh0042>`_ , `plh0043 <https://paneldata.org/soep-long/data/pl/plh0043>`_ ,  `plh0046 <https://paneldata.org/soep-long/data/pl/plh0046>`_ ,  `plh0047 <https://paneldata.org/soep-long/data/pl/plh0047>`_ , `plh0335 <https://paneldata.org/soep-long/data/pl/plh0335>`_ , `plh0336 <https://paneldata.org/soep-long/data/pl/plh0336>`_"
,Life satisfaction,1,`plh0182 <https://paneldata.org/soep-long/data/pl/plh0182>`_
**Demography and Population**,,,
,Origin,6,"`plj0014 <https://paneldata.org/soep-long/data/pl/plj0014>`_ ,  `plj0022 <https://paneldata.org/soep-long/data/pl/plj0022>`_ - `plj0025 <https://paneldata.org/soep-long/data/pl/plj0025>`_, `plj0175 <https://paneldata.org/soep-long/data/pl/plj0175>`_"
**Education and Qualification**,,,
,Apprenticeship,1,"`plg0012 <https://paneldata.org/soep-long/data/pl/plg0012>`_ -  `plg0015 <https://paneldata.org/soep-long/data/pl/plg0015>`_ ,   `plg0264 <https://paneldata.org/soep-long/data/pl/plg0264>`_ ,  `plg0265 <https://paneldata.org/soep-long/data/pl/plg0265>`_ "
,Acquired qualification,12,"`plg0072 <https://paneldata.org/soep-long/data/pl/plg0072>`_-  `plg0079 <https://paneldata.org/soep-long/data/pl/plg0079>`_ ,  `plg0284 <https://paneldata.org/soep-long/data/pl/plg0284>`_ ,  `plg0268 <https://paneldata.org/soep-long/data/pl/plg0268>`_, p_degree, p_field   "
,Advanced training,3,`plg0269 <https://paneldata.org/soep-long/data/pl/plg0269>`_ - `plg0271 <https://paneldata.org/soep-long/data/pl/plg0271>`_
**Family and Social Networks**,,,
,Family situation,4,"`pld0131 <https://paneldata.org/soep-long/data/pl/pld0131>`_ - `pld0133 <https://paneldata.org/soep-long/data/pl/pld0133>`_, `plk0001 <https://paneldata.org/soep-long/data/pl/plk0001>`_"
,Family changes,42,"`pld0012 <https://paneldata.org/soep-long/data/pl/pld0012>`_  - `pld0014 <https://paneldata.org/soep-long/data/pl/pld0014>`_ ,  `pld0038 <https://paneldata.org/soep-long/data/pl/pld0038>`_ -  `pld0040 <https://paneldata.org/soep-long/data/pl/pld0040>`_ ,  `pld0134 <https://paneldata.org/soep-long/data/pl/pld0134>`_ -  `pld0156 <https://paneldata.org/soep-long/data/pl/pld0156>`_ ,  `pld0158 <https://paneldata.org/soep-long/data/pl/pld0158>`_ -  `pld0171 <https://paneldata.org/soep-long/data/pl/pld0171>`_"
**Helath and Care**,,,
,State of health,1,`ple0008 <https://paneldata.org/soep-long/data/pl/ple0008>`_
,Disability or severe disability,2,`ple0040 <https://paneldata.org/soep-long/data/pl/ple0040>`_- `ple0041 <https://paneldata.org/soep-long/data/pl/ple0041>`_
,Visits to the doctor,2,"`ple0072 <https://paneldata.org/soep-long/data/pl/ple0072>`_ , `ple0073 <https://paneldata.org/soep-long/data/pl/ple0073>`_"
,Hospital stays,3,"`ple0053 <https://paneldata.org/soep-long/data/pl/ple0053>`_ , `ple0055 <https://paneldata.org/soep-long/data/pl/ple0055>`_ , `ple0056 <https://paneldata.org/soep-long/data/pl/ple0056>`_"
,Sickness notifications to employer,10,"`ple0044 <https://paneldata.org/soep-long/data/pl/ple0044>`_ ,  `ple0046 <https://paneldata.org/soep-long/data/pl/ple0046>`_ ,  `ple0048 <https://paneldata.org/soep-long/data/pl/ple0048>`_ - `ple0052 <https://paneldata.org/soep-long/data/pl/ple0052>`_ ,  `ple0174 <https://paneldata.org/soep-long/data/pl/ple0174>`_ , `ple0175 <https://paneldata.org/soep-long/data/pl/ple0175>`_ ,  `plb0024 <https://paneldata.org/soep-long/data/pl/plb0024>`_"
,Health insurance,4,"`ple0097 <https://paneldata.org/soep-long/data/pl/ple0097>`_ ,  `ple0099 <https://paneldata.org/soep-long/data/pl/ple0099>`_ , `ple0104 <https://paneldata.org/soep-long/data/pl/ple0104>`_ , `ple0160 <https://paneldata.org/soep-long/data/pl/ple0160>`_"
"**Income, Taxes and Social Security**",,,
,Employment earnings and collective wage agreements,6,"`plc0013 <https://paneldata.org/soep-long/data/pl/plc0013>`_ ,  `plc0014 <https://paneldata.org/soep-long/data/pl/plc0014>`_ , `plc0506 <https://paneldata.org/soep-long/data/pl/plc0506>`_ -  `plc0509 <https://paneldata.org/soep-long/data/pl/plc0509>`_"
,Additional questions for employees,13,`plc0042 <https://paneldata.org/soep-long/data/pl/plc0042>`_ -  `plc0054 <https://paneldata.org/soep-long/data/pl/plc0054>`_
