Topics,Module,Replication,Number of variables,Variables
satisfaction [sat],Well-being,"1990 (only Ost), 1994, 1999",13,`plh0091 <https://paneldata.org/soep-long/data/pl/plh0091>`_ **-** `plh0103 <https://paneldata.org/soep-long/data/pl/plh0103>`_
satisfaction [sat],Optimism,"1994, 2005, 2009, 2014",1,`plh0244 <https://paneldata.org/soep-long/data/pl/plh0244>`_ 
memberships [mbr],Religious Affiliation,"1990, 1997, 2003, 2007, 2011, 2015",1,`plh0258 <https://paneldata.org/soep-long/data/pl/plh0258>`_
memberships [mbr],Organisational and community membership,"1985, 1989, 1993, 1998, 2001, 2003, 2007, 2011, 2015",5,`plh0263 <https://paneldata.org/soep-long/data/pl/plh0263>`_ -`plh0267 <https://paneldata.org/soep-long/data/pl/plh0103>`_
personality [per],Personality traits (Big Five),"2005, 2009, 2013, 2017",16,"`plh0212 <https://paneldata.org/soep-long/data/pl/plh0212>`_ -`plh0226 <https://paneldata.org/soep-long/data/pl/plh0226>`_, `plh0255 <https://paneldata.org/soep-long/data/pl/plh0255>`_"
anomie / normlessness [ano],Anomy,"1992,1993, 1995, 1996, 1997, 2008, 2013",4,`plh0188 <https://paneldata.org/soep-long/data/pl/plh0212>`_-`plh0191 <https://paneldata.org/soep-long/data/pl/plh0191>`_
,Depressive Traits,2016,4,plh0339 – plh0342
importance of life areas (kluckhohn) [ila],Goals in life (Kluckhohn),"1990, 1992, 1995, 2004, 2008, 2012, 2016",9,"`plh0105 <https://paneldata.org/soep-long/data/pl/plh0105>`_ –  `plh0112 <https://paneldata.org/soep-long/data/pl/plh0112>`_, plh0343"
,Money and account balance,2016,3,plh0344 –  plh0346
control orientation [cor],Control beliefs,"2005, 2010, 2015",10,"`plh0247 <https://paneldata.org/soep-long/data/pl/plh0247>`_  –  `plh0252 <https://paneldata.org/soep-long/data/pl/plh0252>`_ ,   `plh0245 <https://paneldata.org/soep-long/data/pl/plh0245>`_ ,   `plh0246 <https://paneldata.org/soep-long/data/pl/plh0246>`_ "
reciprocity [rec],Reciprocity,"2005, 2010, 2015",11,"`plh0206 <https://paneldata.org/soep-long/data/pl/plh0206>`_  - `plh0211 <https://paneldata.org/soep-long/data/pl/plh0211>`_,  `plh0142 <https://paneldata.org/soep-long/data/pl/plh0142>`_-  `plh0146 <https://paneldata.org/soep-long/data/pl/plh0146>`_"
trust [trt],Trust and fairness,"2003, 2008, 2013",8,"`plh0192 <https://paneldata.org/soep-long/data/pl/plh0192>`_ -  `plh0196 <https://paneldata.org/soep-long/data/pl/plh0196>`_ ,  `pld0043 <https://paneldata.org/soep-long/data/pl/pld0043>`_ - `pld0045 <https://paneldata.org/soep-long/data/pl/pld0045>`_"
,Narcissism,2018,,
worries [wry],Loneliness,"2013,2017",3,`plh0269 <https://paneldata.org/soep-long/data/pl/plh0269>`_ - `plh0271 <https://paneldata.org/soep-long/data/pl/plh0271>`_
willingness to take risks [wtr],"Impulsivity, patience","2008,2013",3,"`plh0204 <https://paneldata.org/soep-long/data/pl/plh0204>`_  ,   `plh0253 <https://paneldata.org/soep-longd /pl/plh0253>`_  ,  `plh0254 <https://paneldata.org/soep-long/data/pl/plh0254>`_  "
willingness to take risks [wtr],Risk Aversion (long),"2004, 2009",6,`plh0197 <https://paneldata.org/soep-long/data/pl/plh0197>`_ -  `plh0202 <https://paneldata.org/soep-long/data/pl/plh0202>`_
willingness to take risks [wtr],Lottery question,"2004,2009",1,`plh0203 <https://paneldata.org/soep-long/data/pl/plh0203>`_
political orientations [pol],Policy objectives (Inglehart Index),"1984, 1985, 1986, 1996, 2006, 2016",4,"`plh0054 <https://paneldata.org/soep-long/data/pl/plh0054>`_,  `plh0056 <https://paneldata.org/soep-long/data/pl/plh0056>`_,  `plh0058 <https://paneldata.org/soep-long/data/pl/plh0058>`_,  `plh0061 <https://paneldata.org/soep-long/data/pl/plh0061>`_"
political orientations [pol],Attitudes towards refugees,2016,11,plj0433 – plj0443
voting and attitudes [vot],Bundestag election,2014,1,`plh0333 <https://paneldata.org/soep-long/data/pl/plh0333>`_
voting and attitudes [vot],"Political Tendency, Left-Right","2005, 2009, 2014",1,`plh0004 <https://paneldata.org/soep-long/data/pl/plh0004>`_
government tasks [gov],Social responsibility,"1987, 1992, 1997, 2002, 2017",11,`plh0016 <https://paneldata.org/soep-long/data/pl/plh0016>`_ –  `plh0026 <https://paneldata.org/soep-long/data/pl/plh0026>`_
,Donations,"2010,2015",2,"`plh0129 <https://paneldata.org/soep-long/data/pl/plh0129>`_ ,  `plh0130 <https://paneldata.org/soep-long/data/pl/plh0130>`_"
,Donation of blood,"2010,2015",3,`plh0131 <https://paneldata.org/soep-long/data/pl/plh0131>`_ - `plh0133 <https://paneldata.org/soep-long/data/pl/plh0133>`_
,Donations of goods,2010,8,`plj0108 <https://paneldata.org/soep-long/data/pl/plj0108>`_ - `plj0115 <https://paneldata.org/soep-long/data/pl/plj0115>`_
,10000 Euro Question,"2010,2017",3,`plh0134 <https://paneldata.org/soep-long/data/pl/plh0134>`_- `plh0136 <https://paneldata.org/soep-long/data/pl/plh0136>`_
,"Income justice, general",2005,12,`plh0116 <https://paneldata.org/soep-long/data/pl/plh0116>`_-  `plh0127 <https://paneldata.org/soep-long/data/pl/plh0127>`_
